"","longitude","latitude","datetime"
"104",-71.1098,42.328404,2022-01-01 14:44:27
"105",-71.109833,42.328424,2022-01-01 14:44:29
"106",-71.109864,42.328449,2022-01-01 14:44:30
"107",-71.109908,42.32848,2022-01-01 14:44:31
"108",-71.109927,42.328492,2022-01-01 14:44:32
"109",-71.109965,42.32852,2022-01-01 14:44:34
"110",-71.110005,42.328556,2022-01-01 14:44:35
"111",-71.110035,42.328578,2022-01-01 14:44:36
"112",-71.110083,42.328614,2022-01-01 14:44:38
"113",-71.11011,42.328633,2022-01-01 14:44:39
"114",-71.110139,42.328654,2022-01-01 14:44:40
"115",-71.110164,42.328672,2022-01-01 14:44:41
"116",-71.11019,42.328691,2022-01-01 14:44:43
"117",-71.110218,42.328713,2022-01-01 14:44:44
"118",-71.110245,42.328736,2022-01-01 14:44:45
"119",-71.11028,42.328763,2022-01-01 14:44:47
"120",-71.110317,42.328787,2022-01-01 14:44:48
"121",-71.110348,42.328808,2022-01-01 14:44:50
"122",-71.110382,42.328828,2022-01-01 14:44:51
"123",-71.110425,42.328863,2022-01-01 14:44:52
"124",-71.110446,42.32888,2022-01-01 14:44:53
"125",-71.110492,42.328915,2022-01-01 14:44:55
"126",-71.110527,42.328943,2022-01-01 14:44:56
"127",-71.110568,42.328987,2022-01-01 14:44:57
"128",-71.1106,42.329034,2022-01-01 14:44:59
"129",-71.110622,42.32906,2022-01-01 14:45:00
"130",-71.110642,42.329085,2022-01-01 14:45:01
"131",-71.110661,42.329109,2022-01-01 14:45:02
"132",-71.110688,42.329158,2022-01-01 14:45:04
"133",-71.110695,42.329175,2022-01-01 14:45:05
"134",-71.110702,42.329192,2022-01-01 14:45:06
"135",-71.110717,42.329219,2022-01-01 14:45:07
"136",-71.110739,42.329246,2022-01-01 14:45:09
"137",-71.110768,42.329266,2022-01-01 14:45:11
"138",-71.110786,42.329273,2022-01-01 14:45:12
"139",-71.110809,42.329282,2022-01-01 14:45:13
"140",-71.110845,42.329279,2022-01-01 14:45:15
"141",-71.110865,42.329281,2022-01-01 14:45:17
"142",-71.110885,42.329282,2022-01-01 14:45:18
"143",-71.110905,42.329284,2022-01-01 14:45:19
"144",-71.110944,42.329307,2022-01-01 14:45:21
"145",-71.110956,42.329318,2022-01-01 14:45:22
"146",-71.11097,42.329346,2022-01-01 14:45:24
"147",-71.110988,42.329376,2022-01-01 14:45:25
"148",-71.110988,42.329408,2022-01-01 14:45:27
"149",-71.110993,42.329438,2022-01-01 14:45:28
"150",-71.11099,42.329456,2022-01-01 14:45:29
"151",-71.11098,42.329471,2022-01-01 14:45:30
"152",-71.110939,42.329494,2022-01-01 14:45:31
"153",-71.11092,42.329502,2022-01-01 14:45:32
"154",-71.1109,42.329517,2022-01-01 14:45:33
"155",-71.110875,42.32954,2022-01-01 14:45:35
"156",-71.110841,42.329566,2022-01-01 14:45:36
"157",-71.110821,42.329612,2022-01-01 14:45:38
"158",-71.110815,42.329628,2022-01-01 14:45:39
"159",-71.110809,42.329644,2022-01-01 14:45:40
"160",-71.110801,42.329676,2022-01-01 14:45:41
"161",-71.110778,42.329716,2022-01-01 14:45:43
"162",-71.110772,42.329758,2022-01-01 14:45:44
"163",-71.110781,42.329796,2022-01-01 14:45:45
"164",-71.110806,42.329837,2022-01-01 14:45:46
"165",-71.110853,42.329886,2022-01-01 14:45:48
"166",-71.110901,42.329926,2022-01-01 14:45:49
"167",-71.110957,42.329954,2022-01-01 14:45:50
"168",-71.111022,42.329968,2022-01-01 14:45:51
"169",-71.111123,42.329975,2022-01-01 14:45:53
"170",-71.111187,42.329967,2022-01-01 14:45:54
"171",-71.111246,42.329962,2022-01-01 14:45:55
"172",-71.111299,42.329955,2022-01-01 14:45:57
"173",-71.111351,42.329947,2022-01-01 14:45:58
"174",-71.111392,42.329941,2022-01-01 14:46:00
"175",-71.111448,42.329929,2022-01-01 14:46:01
"176",-71.111507,42.329915,2022-01-01 14:46:03
"177",-71.111546,42.329904,2022-01-01 14:46:04
"178",-71.111594,42.329893,2022-01-01 14:46:05
"179",-71.111632,42.329881,2022-01-01 14:46:06
"180",-71.111663,42.329856,2022-01-01 14:46:07
"181",-71.111688,42.329825,2022-01-01 14:46:09
"182",-71.111709,42.32979,2022-01-01 14:46:10
"183",-71.111767,42.329738,2022-01-01 14:46:11
"184",-71.111811,42.329699,2022-01-01 14:46:13
"185",-71.111878,42.329658,2022-01-01 14:46:15
"186",-71.111924,42.32965,2022-01-01 14:46:16
"187",-71.111968,42.329653,2022-01-01 14:46:18
"188",-71.112006,42.329652,2022-01-01 14:46:19
"189",-71.112057,42.329643,2022-01-01 14:46:20
"190",-71.112075,42.32964,2022-01-01 14:46:21
"191",-71.112098,42.329634,2022-01-01 14:46:22
"192",-71.112143,42.329622,2022-01-01 14:46:24
"193",-71.11217,42.3296,2022-01-01 14:46:25
"194",-71.112178,42.329592,2022-01-01 14:46:26
"195",-71.112188,42.329565,2022-01-01 14:46:27
"196",-71.112196,42.329541,2022-01-01 14:46:28
"197",-71.112198,42.329509,2022-01-01 14:46:30
"198",-71.112193,42.329475,2022-01-01 14:46:31
"199",-71.112192,42.329464,2022-01-01 14:46:32
"200",-71.112184,42.329424,2022-01-01 14:46:33
"201",-71.112176,42.329393,2022-01-01 14:46:35
"202",-71.112162,42.329353,2022-01-01 14:46:36
"203",-71.112151,42.329318,2022-01-01 14:46:38
"204",-71.112147,42.329276,2022-01-01 14:46:39
"205",-71.112145,42.329241,2022-01-01 14:46:41
"206",-71.112146,42.329196,2022-01-01 14:46:42
"207",-71.112147,42.329156,2022-01-01 14:46:44
"208",-71.112147,42.329117,2022-01-01 14:46:45
"209",-71.112145,42.329087,2022-01-01 14:46:46
"210",-71.112146,42.329042,2022-01-01 14:46:48
"211",-71.112144,42.329014,2022-01-01 14:46:49
"212",-71.112142,42.328987,2022-01-01 14:46:50
"213",-71.112137,42.328942,2022-01-01 14:46:51
"214",-71.112131,42.328901,2022-01-01 14:46:53
"215",-71.112131,42.328855,2022-01-01 14:46:54
"216",-71.112127,42.328811,2022-01-01 14:46:55
"217",-71.112121,42.328749,2022-01-01 14:46:57
